customer_id,song_id
F22180,1140
N34498,1523
K46875,6918
L50176,5828
F13830,3039
F3690,429
L49616,3201
M47417,1032
O36829,3578
K32915,252
N17998,10
J44854,4032
F46400,409
O34659,46
N18398,1865
N21608,8803
H19052,162
G26691,472
F17960,12
H7092,259
J9044,4255
O8169,2804
L33016,46
M43427,54
I11323,3293
O23009,940
J44624,2247
M32017,1834
I30743,536
H30272,3050
G48611,3720
G45061,4513
M15737,354
N19858,940
M45217,9865
K23645,2698
F1010,869
G15281,6353
M25737,182
K30665,856
M1857,283
H7482,5583
L24606,817
H40042,146
H44072,811
I46323,208
K24805,9381
N35598,129
N15448,100
M18517,424
L38076,2747
G37441,1539
J29334,6104
G50161,6666
M39737,3135
O18799,1761
G35141,698
J34664,6878
G30441,6230
K2625,3332
M39707,7596
N46098,8351
M52587,1398
G15921,121
M33967,313
K7565,109
G34641,383
L10046,4992
I44173,76
O43889,7455
G7241,195
G24761,7773
O27129,180
H9402,546
H46742,106
G44131,5279
J28914,7222
L16216,165
O25099,440
M18477,2481
O16389,471
J27144,8390
G18351,271
G36181,651
K38045,2637
G18951,1536
K29375,4306
O22459,5169
I30383,91
M31287,101
I45823,565
J29954,684
M8227,1242
N16478,1
K39575,193
K48015,331
K52845,3826
J8024,2071
N2368,10
G40491,74
G25311,796
N18888,3820
K5475,932
L36896,4762
H28932,650
F53320,370
F39900,669
N41708,6263
N26048,3816
I49603,7
K17035,177
O46999,55
L49776,446
L19146,4354
N19528,710
F12220,584
J37804,4952
I53353,252
G40631,1589
O44579,2369
F17580,914
J28934,8241
N5638,8250
L49326,4330
K5165,5482
K33695,3668
I7133,500
G26531,972
M19817,5274
O20089,5067
J28094,2288
K29265,551
K51345,1938
K51345,921
N30238,4974
M21937,4816
M35297,4767
O28869,385
J25234,472
M4597,270
F52210,2390
F14430,2496
K16905,766
J51634,4721
H44742,43
H41472,756
M13217,7920
H25952,511
M31977,715
O41779,8889
M47127,295
I40273,3844
M45677,1906
G30471,1394
F52310,2801
O34599,1360
M12347,482
F34470,8
F50080,4356
N15108,30
K22765,6164
M32137,3064
K31035,349
I49343,293
I21583,93
M51597,403
K22955,483
L39976,3735
F12640,1729
G35741,71
O8349,2353
G39091,4338
K51055,8108
L24056,3901
J39754,6
M6427,2476
I33753,859
J32154,2704
N2368,430
I37433,6065
G47701,6221
N8578,349
L50716,6687
K52815,1214
I40273,1937
N1788,1972
I39903,338
M13517,5085
G40091,2026
F12220,2338
G4151,54
H5032,45
I47683,721
O50789,1671
J48164,2194
G16171,3024
H26632,4
N36498,43
K12435,6700
I28553,9039
K9785,254
H41622,1434
O21449,8083
O46729,2473
N40978,1302
L18426,1513
J43844,2369
H11892,9887
J36644,3477
H52632,5729
G38461,614
N31628,1191
K45745,6419
L25546,1433
I13953,3552
K37125,4330
F41520,98
I673,1694
J5624,303
I31143,2636
J19584,891
L8396,2787
J30534,4117
G46851,7883
G40141,6508
L32526,4469
I25733,1000
G44231,3015
K3985,741
O40729,33
F24850,5349
G14111,65
K37375,5915
N34268,4347
N31288,4382
G23441,65
N42038,111
F2160,2018
L40946,1884
O14109,8139
H38832,1192
F18250,877
M25767,978
J22604,1832
L30166,1078
J28494,138
G36931,65
O8499,92
M34857,187
M12427,8162
O5429,6922
N16198,700
I49233,81
L50356,9685
M9277,345
F7290,419
N18058,258
I42773,1738
F14420,89
F39760,6364
I16713,1142
G8211,3061
M22787,1561
H7652,828
J20524,941
K32205,5251
F49090,2581
F46130,2376
N19858,342
L52246,862
O6489,4548
O21769,9936
H46052,4135
M52577,18
J42634,2888
H39692,216
M48887,1462
L32566,1324
O33659,452
F6950,501
K8655,319
I3733,801
O33659,9
J20604,63
F13300,1605
J26864,8466
L40016,8241
O29739,11
K43505,6980
G34121,92
H43962,4861
I46913,9744
K41275,3882
I28573,569
N47058,4160
F26370,7565
J5514,2579
J29844,9740
L45746,4123
G14471,1487
K38365,116
L45276,332
O28609,3415
M11757,3766
L46536,14
J31334,6560
K13325,5960
J9214,1841
O28259,169
K26945,2581
M19517,3093
H13032,1805
M17577,4147
J25664,122
M39357,630
H33162,2565
I48203,7020
N22678,7923
F25610,8347
H9792,362
L34926,3453
M19297,7313
F37050,3058
N44168,129
H31362,2335
H51742,327
F28660,185
G29591,7220
K18565,2167
K52175,2876
F50440,9099
N8,4004
N12928,5921
H52582,153
G5301,9173
H47882,233
N9188,5810
G40011,1425
L11356,618
M48487,1543
J26614,1419
G29561,731
O35219,9967
H31022,712
N31758,344
G39691,3758
H3482,113
J14474,363
K18615,1999
H50562,1520
F26370,5636
G10321,1251
F36970,9275
M44357,267
K36295,3987
N3638,319
H19312,2399
L22756,1314
H11922,3383
H40202,5017
O17249,589
K39985,155
I43073,201
H46742,2145
M35827,1839
N51788,6694
L52856,1235
O45559,32
H25512,4636
O20149,3895
L41886,1004
I49853,4484
H12642,2804
O26069,1042
I5773,42
L46406,8444
H17592,5658
I49283,4745
M30677,3543
H30422,134
L51436,450
J20604,6833
N33758,2848
F20530,489
J24654,842
F15790,1690
G13421,2403
M28117,58
I25683,7334
M23087,11
N5068,646
M41567,1974
O48479,2814
I40873,2290
J8064,272
I24113,241
O3329,633
N25848,851
G25271,2496
K9765,5127
I14303,66
F45070,1991
F35170,3102
O51259,77
G35441,83
F15750,375
F5740,3805
H38412,115
N6898,289
