song_id,platform_id,released_year,language,number_of_comments
8328,T17332564,2013,eng,1936
8591,T773514,1925,eng,420
718,U10975,1929,eng,5485
6593,Y12839,1968,,200
743,Q28881,2002,en-US,10411
2682,W12891107,2012,en-US,1929
8137,T25828204,2015,,2691
6867,R14082,1943,eng,450
4245,U1298205,1940,,61
502,X138398,2004,en-GB,3397
2850,R46202,2006,eng,3955
1171,X28078,2003,en-US,2952
7252,P1333030,2008,en-US,964
5942,S13586743,2009,,1931
8575,T1211904,2007,eng,334
8080,U60935,1992,,476
2257,P14940,1962,eng,1096
3045,T23305614,2015,eng,6643
4726,T226004,1998,en-US,741
6594,U25365,1997,eng,1898
8509,V13417946,2011,,817
3353,R457762,1969,eng,1208
3992,V1675216,2008,eng,3412
3494,Q20881071,2014,eng,2699
9441,Q630621,2007,eng,333
5013,Y1849,2006,en-US,959
1371,V1713426,2007,en-US,3748
9390,T1176884,2006,eng,583
339,Y32929,1947,en-US,4604
3640,Y119389,1987,en-GB,502
1354,W51497,1886,eng,644
9349,V10790376,2011,eng,1018
5991,X334818,1981,eng,745
7690,P14480,2002,,43
2294,W7137327,2011,eng,4692
7351,W32807,2003,eng,340
7380,S138683,2004,en-US,924
6898,Q79121,1888,eng,545
4578,S7983,1992,en-US,249
6150,Q279561,2003,eng,686
8612,W133017,1988,eng,248
683,S3463,2001,eng,3392
1118,S9593913,2013,eng,12202
2263,R7501962,2009,eng,2924
7260,X43798,1979,en-US,364
86,R32542,1989,eng,4239
1943,Q16085481,2013,eng,6601
6364,S28923,2000,eng,1616
2357,Y13839,2001,en-CA,2753
7419,U270435,1976,en-US,125
1883,W166997,1965,eng,6927
6982,Q64401,1978,en-US,502
4607,Q20575411,2014,eng,3208
5793,W21569527,2015,eng,3507
3634,V115076,2005,eng,4084
7741,U294045,2001,eng,360
407,V5826,2001,eng,12134
9832,P130260,1999,,1204
1443,X11827808,2011,eng,2109
7597,V269386,1999,eng,789
2269,V43916,1982,eng,1118
8823,P131830,1994,,308
5491,V568476,1950,eng,496
9432,T74034,1985,eng,1344
3239,U4699575,2006,en-US,2655
3394,V2177236,2008,en-US,2241
1641,V248596,1962,eng,4526
4190,W15547,1986,eng,933
1678,V13376,2002,eng,5419
4284,S5693,1900,eng,489
7357,X5368,1944,eng,958
8489,W2159007,2008,eng,1052
4359,T9784,1920,eng,821
9141,T9329354,2011,eng,453
1411,R15622,1940,eng,2918
760,R9532,1998,eng,4587
1562,P22609310,2015,en-GB,11682
6935,Q837501,1947,en-US,1048
2924,X46438,2006,eng,1482
